Review,Size,Comfort,Features,star_rating
NA,"['5', '7', '8']","Rubber-like upper
Elastic panels on quarter
Folded woven label on quarter with PUMA branding
Rubber-like loop on heel with debossed and printed PUMA branding
SOFTFOAM synthetic sockliner
Rubber midsole
Rubber outsole
Platform silhouette",,NA
NA,"['5', '6', '7']","Synthetic base
Synthetic Formstrip
Debossed and printed mini Formstrip on lateral Formstrip",,NA
NA,"['3', '4', '5', '6', '7', '8']",IMEVA: PUMA's material for a lightweight and comfortable feel,"Mesh upper with suede and synthetic overlays
IMEVA midsole
Shock-absorbing Federbein outsole
Lace closure for a snug fit
PUMA Wordmark at tongue and quarter
PUMA Formstrip at lateral sides",NA
NA,"['3', '4', '5', '6', '7', '8']","Textile upper with suede overlays
Synthetic Formstrip with debossed and screen printed lines
RS midsole
Heel type: Flat
Shoe width: Regular fit
Shoe pronation: Neutral
Rubber outsole",,NA
NA,"['3', '4', '5', '6', '7', '8']","Textile upper with suede overlays
Synthetic Formstrip with debossed and screen printed lines
RS midsole
Heel type: Flat
Shoe width: Regular fit
Shoe pronation: Neutral
Rubber outsole",,NA
NA,"['3', '4', '5', '6', '7', '8']","Leather upper
Suede overlays
Rubber outsole
PUMA Formstrip on the medial and lateral side
PUMA Cat Logo on the heel",,NA
NA,"['3', '4', '5', '6', '7', '8']",IMEVA: PUMA's material for a lightweight and comfortable feel,"Mesh upper with suede and synthetic overlays
IMEVA midsole
Shock-absorbing Federbein outsole
Lace closure for a snug fit
PUMA Wordmark at tongue and quarter
PUMA Formstrip at lateral sides",NA
NA,"['3', '4', '5', '6', '7', '8']","Leather upper
Suede overlays
Rubber outsole
PUMA Formstrip on the medial and lateral side
PUMA Cat Logo on the heel",,NA
NA,"['3', '4', '5', '6', '7']","Heel type: Flat
Shoe width: Regular fit
Textile upper
EVA outsole
Slip on
PUMA cat logo",,NA
NA,"['3', '4', '5', '6']","SoftFoam+: PUMA’s comfort sockliner for instant step-in and long-lasting comfort that provides soft cushioning every step of your day
DETAILS
Heel type: Platform
Shoe width: Regular fit
Shoe pronation: Neutral
Lace closure
Low boot
Mesh upper
Zoned rubber outsole
PUMA Formstrip on the lateral side
PUMA Cat Logo branding",,NA
NA,"['3', '4', '5', '6', '7', '8']","Heel type: Flat
Shoe width: Regular fit
Heel-to-toe-drop: 0 mm
Shoe pronation: Neutral
Low boot
Synthetic upper
PUMA Formstrip on lateral side",,NA
NA,"['3', '4', '5', '6', '7', '8']","Heel type: Flat
Shoe width: Regular fit
Heel-to-toe-drop: 0 mm
Shoe pronation: Neutral
Low boot
Synthetic upper
PUMA Formstrip on lateral side",,NA
NA,"['3', '6', '7']","Heel type: Flat
Shoe width: Regular fit
Shoe pronation: Neutral
Heel-to-toe-drop: 0 mm
Synthetic upper
Rubber outsole
PUMA Formstrip at the lateral side
PUMA Wordmark & cat logo at the tongue
Low boot
Lace closure",,NA
NA,"['4', '6', '8']","Heel type: Flat
Shoe width: Regular fit
Shoe pronation: Neutral
Heel-to-toe-drop: 0 mm
Synthetic upper
Rubber outsole
PUMA Formstrip at the lateral side
PUMA Wordmark & cat logo at the tongue
Low boot
Lace closure",,NA
NA,['3'],"The upper of this shoe is made with at least 20% recycled materials as a step toward a better future.
Running System: PUMA's comfortable cushioning technology celebrates the reinvention of a unique moment and movement in culture","Heel type: Flat
Shoe width: Regular fit
Shoe pronation: Neutral
Heel-to-toe-drop: 0.0 mm
Textile base
3D printed Formstrip
Leather toe and heel overlay
Synthetic quarter panel and eyestay
Suede vamp and eyestay underlays
RS midsole
Rubber outsole",NA
NA,"['4', '6', '8']","The upper of this shoe is made with at least 20% recycled materials as a step toward a better future.
Running System: PUMA's comfortable cushioning technology celebrates the reinvention of a unique moment and movement in culture","Heel type: Flat
Shoe width: Regular fit
Shoe pronation: Neutral
Heel-to-toe-drop: 0.0 mm
Textile base
3D printed Formstrip
Leather toe and heel overlay
Synthetic quarter panel and eyestay
Suede vamp and eyestay underlays
RS midsole
Rubber outsole",NA
NA,['7'],"Recycled Content: The upper of this shoe is made with at least 20% recycled materials as a step toward a better future
SOFTFOAM+: Step-in comfort sockliner designed to provide soft cushioning thanks to its extra thick heel","Edgy upper design featuring multiple layers and details
Rubber midsole
Platform tooling profile with rugged rubber outsole
PUMA Formstrip on medial and lateral sides
PUMA Wordmark label on tongue
Gold foil finish logos",NA
NA,"['4', '5', '6', '7', '8']","Recycled Content: The upper of this shoe is made with at least 20% recycled materials as a step toward a better future
SOFTFOAM+: Step-in comfort sockliner designed to provide soft cushioning thanks to its extra thick heel","Leather upper with a perforated vamp
Lace closure for a snug fit
Textured midsole
PUMA graphics on quarter
PUMA No.1 Logo on tongue
PUMA Formstrip on medial and lateral sides
PUMA Cat Logo on heel",NA
NA,"['3', '5', '6', '7', '8']",PUMA’s leather products support responsible manufacturing via the Leather Working Group. www.leatherworkinggroup.com,"Leather upper
Suede Formstrip with nylon piping
Synthetic tongue
Solid PUMA branded TPU bubble on heel
Rubber midsole
Rubber outsole",NA
NA,"['3', '4', '5', '6', '7', '8']",IMEVA: PUMA's material for a lightweight and comfortable feel,,NA
NA,"['3', '4', '5', '6', '7', '8']",PUMA’s leather products support responsible manufacturing via the Leather Working Group.www.leatherworkinggroup.com,"Full leather upper with suede details
EVA and rubber midsole
EVA and rubber outsole
Soft grain leather PUMA Formstrip on side
PUMA branding details",NA
NA,"['3', '4', '5', '6', '7', '8']",IMEVA: PUMA's material for a lightweight and comfortable feel,,NA
NA,"['3', '6', '7', '8']","Leather upper
Suede overlays
Rubber outsole
PUMA Formstrip on the medial and lateral side
PUMA Cat Logo on the heel",,NA
NA,"['5', '6', '8']","Recycled Content: The upper of this shoe is made with at least 20% recycled materials as a step toward a better future
SOFTFOAM+: Step-in comfort sockliner designed to provide soft cushioning thanks to its extra thick heel","Edgy upper design featuring multiple layers and details
Rubber midsole
Platform tooling profile with rugged rubber outsole
PUMA Formstrip on medial and lateral sides
PUMA Wordmark label on tongue
Gold foil finish logos",NA
NA,"['3', '4', '5', '6', '7']",SoftFoam+: PUMA’s comfort sockliner for instant step-in and long-lasting comfort that provides soft cushioning every step of your day,"Heel type: Flat
Shoe width: Regular fit
Heel-to-toe-drop: 0 mm
Shoe pronation: Neutral
Low boot
Synthetic upper
Rubber outsole
PUMA Formstrip on lateral side
PUMA Wordmark and Cat logo at tongue",NA
NA,"['3', '4', '5', '6', '7']",SoftFoam+: PUMA’s comfort sockliner for instant step-in and long-lasting comfort that provides soft cushioning every step of your day,"Heel type: Flat
Shoe width: Regular fit
Heel-to-toe-drop: 0 mm
Shoe pronation: Neutral
Low boot
Synthetic upper
Rubber outsole
PUMA Formstrip on lateral side
PUMA Wordmark and Cat logo at tongue",NA
NA,"['3', '4', '6', '7']","Heel type: Flat
Shoe width: Regular fit
Shoe pronation: Neutral
Heel-to-toe-drop: 0 mm
Synthetic upper
Low boot
PUMA Cat logo and wordmark at quarter panel & tongue
Perforated detailing
Rubber outsole
Lace closure",,NA
NA,"['3', '4', '6', '7']","Heel type: Flat
Shoe width: Regular fit
Shoe pronation: Neutral
Heel-to-toe-drop: 0 mm
Synthetic upper
Low boot
PUMA Cat logo and wordmark at quarter panel & tongue
Perforated detailing
Rubber outsole
Lace closure",,NA
NA,"['3', '4', '5', '6', '7', '8']","SOFTFOAM+: Step-in comfort sockliner designed to provide soft cushioning thanks to its extra thick heel
The upper of this shoe is made with at least 20% recycled materials as a step toward a better future","Low Boot
Heel type: Platform
Shoe width: Regular fit
Shoe pronation: Neutral
Heel-to-toe-drop: 0 mm
Leather upper
PUMA Formstrip on the lateral sides
PUMA Wordmark on the heel",NA
NA,"['3', '4', '5', '6', '7', '8']","Mesh base
Synthetic Formstrip, heel cap, bottom eyestay and tongue overlay
Synthetic quarter panel and heel overlay
Soft PU coated leather vamp
Leather vamp and quarter panel overlay
Metallic hotmelt film on eyestay and vamp underlay
Matte hotmelt film underneath bottom eyestay
RS midsole
Rubber outsole",,NA
NA,"['3', '4', '5', '6', '7', '8']","SOFTFOAM+: Step-in comfort sockliner designed to provide soft cushioning thanks to its extra thick heel
The upper of this shoe is made with at least 20% recycled materials as a step toward a better future","Low Boot
Heel type: Platform
Shoe width: Regular fit
Shoe pronation: Neutral
Heel-to-toe-drop: 0 mm
Leather upper
PUMA Formstrip on the lateral sides
PUMA Wordmark on the heel",NA
NA,"['3', '4', '5', '6', '7', '8']","Mesh base
Synthetic Formstrip, heel cap, bottom eyestay and tongue overlay
Synthetic quarter panel and heel overlay
Soft PU coated leather vamp
Leather vamp and quarter panel overlay
Metallic hotmelt film on eyestay and vamp underlay
Matte hotmelt film underneath bottom eyestay
RS midsole
Rubber outsole",,NA
NA,"['3', '5', '6', '7', '8']","Synthetic upper
Leather and nubuck overlays
Textile tongue
Rubber outsole",,NA
NA,"['3', '4', '5', '6', '7', '8']","Synthetic upper
Leather and nubuck overlays
Textile tongue
Rubber outsole",,NA
NA,"['4', '5', '6', '7']","SOFTFOAM+: Step-in comfort sockliner designed to provide soft cushioning thanks to its extra thick heel
Recycled Content: The upper of this shoe is made with at least 20% recycled materials as a step toward a better future","Low Boot
Heel type: Platform
Shoe width: Regular fit
Shoe pronation: Neutral
Heel-to-toe-drop: 0 mm
Leather upper
Rubber midsole
Rubber outsole
PUMA Formstrip on the medial and lateral sides
PUMA Cat Logo on the heel",NA
NA,"['7', '8']","Low Boot
Heel type: Flat
Shoe width: Regular fit
Shoe pronation: Neutral
Heel-to-toe-drop: 14.0 mm
Mesh base with suede and synthetic leather overlays
EVA midsole
Rubber outsole
PUMA branding details",,NA
NA,"['6', '7', '8']","SOFTFOAM+: Step-in comfort sockliner designed to provide soft cushioning thanks to its extra thick heel
Recycled Content: The upper of this shoe is made with at least 20% recycled materials as a step toward a better future","Low Boot
Heel type: Platform
Shoe width: Regular fit
Shoe pronation: Neutral
Heel-to-toe-drop: 0 mm
Leather upper
Rubber midsole
Rubber outsole
PUMA Formstrip on the medial and lateral sides
PUMA Cat Logo on the heel",NA
NA,"['5', '6', '8']","Low Boot
Heel type: Flat
Shoe width: Regular fit
Shoe pronation: Neutral
Heel-to-toe-drop: 14.0 mm
Mesh base with suede and synthetic leather overlays
EVA midsole
Rubber outsole
PUMA branding details",,NA
NA,"['6', '7']",SOFTFOAM+: Step-in comfort sockliner designed to provide soft cushioning thanks to its extra thick heel,"Suede upper
Platform style
Rugged rubber outsole
Metallic details
PUMA Formstrip on medial and lateral sides
PUMA No.1 Logo on tongue",NA
NA,['8'],SOFTFOAM+: Step-in comfort sockliner designed to provide soft cushioning thanks to its extra thick heel,"Suede upper
Platform style
Rugged rubber outsole
Metallic details
PUMA Formstrip on medial and lateral sides
PUMA No.1 Logo on tongue",NA
NA,,"SOFTFOAM+: Step-in comfort sockliner designed to provide soft cushioning thanks to its extra thick heel
Recycled Content: The upper of this shoe is made with at least 20% recycled materials as a step toward a better future","Low Boot
Heel type: Platform
Shoe width: Regular fit
Shoe pronation: Neutral
Heel-to-toe-drop: 0 mm
Leather upper
Rubber midsole
Rubber outsole
PUMA Formstrip on the medial and lateral sides
PUMA Cat Logo on the heel",NA
NA,['7'],"PUMA’s leather products support responsible manufacturing via the Leather Working Group.www.leatherworkinggroup.com
The upper of this shoe is made with at least 30% recycled materials and the bottom is made with at least 10% recycled materials, as a step toward a better future.","Full suede leather upper with synthetic Formstrip
PUMA Formstrip on lateral and medial sides
PUMA branding details",NA
NA,['7'],"PUMA’s leather products support responsible manufacturing via the Leather Working Group.www.leatherworkinggroup.com
The upper of this shoe is made with at least 30% recycled materials and the bottom is made with at least 10% recycled materials, as a step toward a better future.","Full suede leather upper with synthetic Formstrip
PUMA Formstrip on lateral and medial sides
PUMA branding details",NA
NA,"['3', '4', '5', '6', '7', '8']",PUMA’s leather products support responsible manufacturing via the Leather Working Group.www.leatherworkinggroup.com,"Suede vamp and quarter panel overlay
Leather back quarter panel overlay
Hairy suede heel cap and eyestay
Synthetic Formstrip
Rubber midsole
Rubber outsole",NA
NA,"['3', '4', '5', '6', '7', '8']",Running System: PUMA's comfortable cushioning technology celebrates the reinvention of a unique moment and movement in culture,"Mesh vamp with synthetic overlays
Synthetic eyestay, vamp, quarter panel and heel overlay
Mesh tongue
Lightweight PU midsole
Rubber outsole",NA
NA,"['4', '5', '6', '7', '8']",LWG: The leather sourced in this product comes from environmentally responsible leather manufacturing and is audited and certified via the Leather Working Group protocol,"Leather upper with nubuck overlays
Rubber midsole
Rubber outsole
Nubuck PUMA Formstrip",NA
NA,"['7', '8']","CMEVA: PUMA's compression-moulded EVA material for lightweight performance
SoftFoam+: PUMA's comfort sockliner for instant step-in and long-lasting comfort that provides soft cushioning every step of your day","Heel type: Flat
Shoe width: Regular fit
Heel-to-toe-drop: 0 mm
Knit-like mesh upper with eyestay and casual trims
EVA midsole and rubber outsole
Lace closure with TPU caging for a snug fit
PUMA Cat Logo at tongue and lateral toe
PUMA Wordmark at heel",NA
NA,"['3', '4', '5', '6', '7', '8']","Textile upper with suede overlays
Synthetic Formstrip with debossed and screen printed lines
RS midsole
Heel type: Flat
Shoe width: Regular fit
Shoe pronation: Neutral
Rubber outsole",,NA
NA,"['3', '4', '5', '6', '7', '8']","Mesh upper with leather and synthetic overlays
Lace closure for a snug fit
PUMA Cat Logo on tongue and heel
PUMA Formstrip on medial and lateral sides
BMW M Motorsport Propeller Badge on lateral heel",,NA
NA,"['3', '4', '5', '6', '7', '8']","Low boot
Leather upper
Synthetic overlay on heel and textile eyestay
Rubber midsole
Rubber outsole
Lace closure with glossy eyelets
Striped webbing loop at heel
Leather PUMA Formstrip at lateral side
Debossed and foil-printed PUMA No. 2 Logo at quarter panel
Debossed and foil-printed PUMA Cat Logo at heel cap",,NA
NA,"['3', '4', '5', '6', '7', '8']",LWG: The leather sourced in this product comes from environmentally responsible leather manufacturing and is audited and certified via the Leather Working Group protocol,"Suede upper
Paisley print inside
Embroidered quote on back of tongue
Co-branded tongue label
Patterned laces
Patterned rubber midsole
Rubber outsole
Suede PUMA Formstrip on the medial and lateral sides
PUMA Suede Logo on the lateral side",NA
NA,"['3', '4', '5', '6', '7', '8']","Leather upper with suede overlays
Synthetic quarter panel
Textile and synthetic tongue
TPU eyelets
Rubber midsole
Rubber outsole
PUMA Formstrip on the medial and lateral sides",,NA
NA,"['3', '7', '8']",Running System: PUMA's comfortable cushioning technology celebrates the reinvention of a unique moment and movement in culture,"Mesh vamp with synthetic overlays
Synthetic eyestay, vamp, quarter panel and heel overlay
Mesh tongue
Lightweight PU midsole
Rubber outsole",NA
NA,"['3', '4', '6', '7', '8']",PUMA’s leather products support responsible manufacturing via the Leather Working Group. www.leatherworkinggroup.com,"PUMA x THE SMURFS co-branding
Platform sole
Leather upper
All-over print on the sockliner
Rubber outsole
PUMA x THE SMURFS box",NA
NA,"['3', '4', '5', '6', '7', '8']","The upper of this shoe is made with at least 20% recycled materials and the bottom is made with at least 10% recycled materials, as a step toward a better future
PUMA’s leather products support responsible manufacturing via the Leather Working Group.www.leatherworkinggroup.com","Low Boot
Heel type: Flat
Shoe width: Regular fit
Shoe pronation: Neutral
Heel-to-toe-drop: 0 mm
Suede upper
Rubber midsole
Rubber outsole
PUMA Formstrip on the lateral sides
PUMA Archive No. 1 Label on the tongue",NA
NA,"['3', '4', '5', '6', '7', '8']","The upper of this shoe is made with at least 20% recycled materials and the bottom is made with at least 10% recycled materials, as a step toward a better future
PUMA’s leather products support responsible manufacturing via the Leather Working Group.www.leatherworkinggroup.com","Low Boot
Heel type: Flat
Shoe width: Regular fit
Shoe pronation: Neutral
Heel-to-toe-drop: 0 mm
Suede upper
Rubber midsole
Rubber outsole
PUMA Formstrip on the lateral sides
PUMA Archive No. 1 Label on the tongue",NA
NA,"['3', '4', '5', '6', '7', '8']","SoftFoam: PUMA’s dual-density insole provides two unique layers of cushioning for customised comfort, fit and long-lasting durability
Recycled Content: The upper of this shoe is made with at least 20% recycled materials as a step toward a better future","Heel type: Flat
Shoe width: Regular fit
Heel-to-toe-drop: 0 mm
Tennis-inspired silhouette
Bootie construction
Premium leather upper
Cushioned footbed for optimum comfort
Rubber outsole for grip
Lace closure for a snug fit
PUMA Formstrip at medial and lateral sides
PUMA Logo at lateral side and tongue
PUMA Cat Logo at heel",NA
NA,"['4', '5', '6', '7', '8']","Heel type: Flat
Shoe width: Regular fit
Lace closure
Rubber outsole for traction
EVA midsole for cushioning
Pull tab for snug fit
Contrast PUMA Formstrip on the lateral side
PUMA cat logo at counter
PUMA Wordmark at tongue pull-tab and heel",,NA
NA,"['3', '4', '5', '6', '7', '8']","Recycled Content: Made with at least 20% recycled material as a step toward a better future
SOFTFOAM+: Step-in comfort sockliner designed to provide soft cushioning thanks to its extra thick heel","Heel type: Platform
Shoe width: Regular fit
Heel-to-toe-drop: 0 mm
Leather upper with perforated vamp
Rubber midsole and outsole
Wider vertical lines on heel
PUMA Formstrip on medial and lateral sides
PUMA Cat Logo on heel",NA
NA,"['3', '4', '5', '6', '7', '8']","Recycled Content: Made with at least 20% recycled material as a step toward a better future
SOFTFOAM+: Step-in comfort sockliner designed to provide soft cushioning thanks to its extra thick heel","Heel type: Platform
Shoe width: Regular fit
Heel-to-toe-drop: 0 mm
Leather upper with perforated vamp
Rubber midsole and outsole
Wider vertical lines on heel
PUMA Formstrip on medial and lateral sides
PUMA Cat Logo on heel",NA
NA,"['3', '4', '5', '6', '7', '8']","Textile upper with suede overlays
Synthetic Formstrip with debossed and screen printed lines
RS midsole
Heel type: Flat
Shoe width: Regular fit
Shoe pronation: Neutral
Rubber outsole",,NA
NA,"['3', '4', '5', '6', '7', '8']","Heel type: Flat
Shoe width: Regular fit
Shoe pronation: Neutral
Heel-to-toe-drop: 0.0 mm
Synthetic base and upper
Textile vamp base and tongue
Suede eyestay, vamp and heel cap
RS midsole
Rubber outsole",,NA
NA,"['3', '4', '5', '6', '7', '8']","The upper of this shoe is made with at least 20% recycled materials as a step toward a better future
SOFTFOAM+: Step-in comfort sockliner designed to provide soft cushioning thanks to its extra thick heel","A mix of different durable leather materials
Cupsole tooling with elevated profile height and a TPU heel piece
PUMA Formstrip on medial and lateral sides
PUMA No. 1 Logo on tongue",NA
NA,"['3', '4', '5', '6', '7', '8']",The upper of this shoe is made with at least 30% recycled materials as a step toward a better future,"Heel type: Flat
Shoe width: Regular fit
Shoe pronation: Neutral
Heel-to-toe-drop: mm
Textile base
Synthetic and textile upper
PU midsole
Rubber outsole
PUMA Formstrip on the lateral sides
PUMA Cat Logo on the heel",NA
NA,"['3', '4', '5', '6', '7', '8']","Heel type: Platform
Shoe width: Regular fit
Shoe pronation: Neutral
Heel-to-toe-drop: 0 mm
Full leather upper
Rubber midsole
Rubber outsole
Leather PUMA Formstrip on side
PUMA branding details",,NA
