sno,Count_of_sizes,Name_of_colors,Product_code
55,13.0,Anthracite/Cool Grey/Industrial Blue/Pure Platinum,FV0384-001
56,13.0,White/Total Orange/Black,DD1399-105
57,12.0,White/Black,BQ6806-100
58,12.0,Light Orewood Brown/White/Light British Tan/Metallic Gold,DZ4129-102
59,5.0,Black/Black/White,FZ0627-010
60,11.0,Black/Anthracite/Black/Black,DV1678-003
61,7.0,University Red/Summit White/Black,DV1748-601
62,7.0,White/White/White,FD1146-100
63,9.0,White/Sky J Orange/Sky J Mauve/Black,FB9907-102
64,14.0,Flax/Gum Light Brown/Black/Wheat,CJ9179-200
65,13.0,Sail/Sail/Gum Light Brown/Khaki,FQ8142-133
66,9.0,Black/Light Bone/Magma Orange,FJ0742-081
67,10.0,White/Phantom/Action Grape/Black,CD4165-118
68,7.0,Black/Black/White,DQ9624-001
69,17.0,Black/Black/White,DV0788-002
70,7.0,Sky J Purple/Honeycomb/Sail/Shimmer,DB2889-501
71,12.0,Varsity Red/White/Black,DV5141-611
72,12.0,Racer Blue/Lime Blast/Safety Orange/White,CD4382-400
73,5.0,Light Army/Gum Light Brown/Khaki/Light Army,FD3365-339
74,2.0,White/Bright Concord/Aquamarine/Black,553558-154
75,13.0,Black/Anthracite/Cool Grey,FB2067-001
76,12.0,Black/Cardinal Red/White/Vivid Orange,FJ4923-008
77,10.0,Platinum Violet/Purple Ink/Fierce Pink/Luminous Green,DJ6159-002
78,2.0,White/Clear Jade/Light Ultramarine/Deep Jungle,DN3555-100
79,12.0,Metallic Silver/Photon Dust/White/Metallic Silver,FD6815-001
80,17.0,Phantom/Khaki/Light Orewood Brown/Medium Ash,DX9016-006
81,13.0,Black/Black/Black,DH2987-002
82,9.0,Golden Harvest/White/Black,DH7004-701
83,6.0,University Red/Black/Clear/White,FJ6036-600
84,13.0,White/White/Royal Blue,FZ0624-100
85,12.0,Black/Anthracite/Black,DV3853-002
86,9.0,Sail/Gum Light Brown/University Blue,FJ1683-100
87,3.0,Black/Tech Grey/White/Muslin,CZ0790-001
88,13.0,Light Orewood Brown/Coconut Milk/Deep Jungle/Sail,FQ8077-104
89,12.0,White/Light Lemon Twist/Volt/Black,DR2665-101
90,13.0,Sundial/Monarch/White,DV3278-700
91,11.0,Black/White/Fireberry/Metallic Gold,DM8974-004
92,16.0,Pine Green/White/White/Black,DV5477-300
93,6.0,Light Silver/Mica Green/Summit White,DX6865-001
94,9.0,Black/Anthracite/Cool Grey,FB2065-001
95,13.0,White/White/Black,DH3158-101
96,9.0,Oil Green/Olive Aura/Phantom/Oil Green,FN4190-300
97,13.0,Mica Green/Black/Clear Jade/White,DM0829-301
98,12.0,Black/Black/White/University Red,DO1925-003
99,11.0,University Red/Midnight Navy/Blue Joy/Sea Glass,DV7480-600
100,7.0,Black/College Grey/Sail/Gym Red,BQ6472-060
101,12.0,White/Black,DX4361-100
102,13.0,Thunder Grey/Desert Sand/Total Orange/Black,AH8050-024
103,5.0,Rugged Orange/Rugged Orange,DX4816-800
104,9.0,Black/Coconut Milk/Bright Crimson/White,FN1187-001
105,10.0,Pink Foam/White,DR2670-600
106,15.0,White/Vivid Sulphur/Track Red/Black,DX9025-101
107,3.0,White/Particle Grey/Metallic Silver/Dark Smoke Grey,DV4130-100
108,10.0,Diffused Blue/Ashen Slate/White/Metallic Red Bronze,DR2698-400
109,17.0,White/Reflect Silver/Industrial Blue/White,FV0383-100
110,9.0,Black/White/Metallic Red Bronze,FB7150-001
112,9.0,Black/Guava Ice/Orange/Black,FN6594-002
113,13.0,Black/Clear Jade/White,DZ9360-008
114,12.0,Cool Grey/Anthracite/Summit White/Stadium Green,921826-020
115,10.0,Black/Diffused Blue/White/Metallic Red Bronze,FB7147-001
116,1.0,White/Wolf Grey/True Red,414571-160
117,13.0,Deep Jungle/Geode Teal/Black/Safety Orange,DO7625-300
118,5.0,White/White/White,CZ7836-100
119,10.0,Diffused Blue/Ashen Slate/White/Metallic Gold,FB8502-400
120,9.0,Oil Green/Olive Aura/Phantom/Oil Green,FN4190-300
121,13.0,Mica Green/Black/Clear Jade/White,DM0829-301
122,12.0,Black/Black/White/University Red,DO1925-003
123,11.0,University Red/Midnight Navy/Blue Joy/Sea Glass,DV7480-600
124,7.0,Black/College Grey/Sail/Gym Red,BQ6472-060
125,12.0,White/Black,DX4361-100
126,13.0,Thunder Grey/Desert Sand/Total Orange/Black,AH8050-024
127,5.0,Rugged Orange/Rugged Orange,DX4816-800
128,9.0,Black/Coconut Milk/Bright Crimson/White,FN1187-001
129,10.0,Pink Foam/White,DR2670-600
130,15.0,White/Vivid Sulphur/Track Red/Black,DX9025-101
131,3.0,White/Particle Grey/Metallic Silver/Dark Smoke Grey,DV4130-100
132,10.0,Diffused Blue/Ashen Slate/White/Metallic Red Bronze,DR2698-400
133,17.0,White/Reflect Silver/Industrial Blue/White,FV0383-100
134,9.0,Black/White/Metallic Red Bronze,FB7150-001
136,9.0,Black/Guava Ice/Orange/Black,FN6594-002
137,13.0,Black/Clear Jade/White,DZ9360-008
138,12.0,Cool Grey/Anthracite/Summit White/Stadium Green,921826-020
139,10.0,Black/Diffused Blue/White/Metallic Red Bronze,FB7147-001
140,1.0,White/Wolf Grey/True Red,414571-160
141,13.0,Deep Jungle/Geode Teal/Black/Safety Orange,DO7625-300
142,5.0,White/White/White,CZ7836-100
143,10.0,Diffused Blue/Ashen Slate/White/Metallic Gold,FB8502-400
144,9.0,Pale Ivory/Luminous Green/High Voltage/Neutral Olive,DJ7929-101
145,13.0,White/Black/Stadium Green,DM9537-105
146,7.0,Black/White,DR5540-002
147,9.0,Luminous Green/Sea Glass/Lime Blast/White,DV3975-301
148,11.0,Summit White/Metallic Silver/Bronzine,DV3808-101
149,15.0,Wolf Grey/Smoke Grey/White,DM0103-010
150,13.0,White/Action Green/Light Lemon Twist/Black,DD1579-105
152,9.0,Black/Alabaster/Sail,FB6877-001
153,18.0,Light Bone/Cobblestone/Gum Light Brown/Light Bone,DR0508-001
154,9.0,Black/Anthracite/Volt/Vivid Purple,DH3393-007
155,15.0,White/Pure Platinum/Black,DX0127-100
156,11.0,Phantom/Metallic Red Bronze/Fireberry/Phantom,DH3161-003
157,13.0,Black/Barely Volt/Black,DJ6258-001
158,7.0,White/Lucky Green/Cement Grey/Varsity Red,CK9246-136
159,1.0,Black/White/Cool Grey,848386-001
160,7.0,White/Black/Coconut Milk/University Red,FD4849-106
161,6.0,Sail/Siren Red/Sundial/Metallic Silver,FN7683-133
162,13.0,University Red/White/Football Grey/Black,DV3949-600
163,8.0,Pink Foam/Pink Oxford/Platinum Tint/White,DX6482-600
164,11.0,White/Metallic Silver/Black,FZ0637-100
165,7.0,Black/Off-Noir,DJ7884-002
166,1.0,Summit White/Black/White/Medium Olive,CK2944-101
167,1.0,Black/Iron Grey/Dark Smoke Grey/White,DD9291-001
168,11.0,Rattan/Limestone/Medium Olive/Neutral Olive,FD6409-201
169,13.0,White/Sea Glass/Blue Joy/University Red,FB1276-100
170,13.0,White/Photo Blue/Black,DJ5590-103
171,5.0,Sand Drift/Phantom/Metallic Gold,BQ4632-108
172,4.0,Earth/Earth,DM0886-200
173,8.0,Black/Anthracite/Volt/White,FB2197-001
174,13.0,White/Clear Jade/Light Ultramarine/Deep Jungle,DJ6566-103
175,8.0,University Red/University Red/Black,CN9675-600
176,,Baroque Brown/Baroque Brown,BQ4639-202
177,,Black/Chile Red/Hyper Royal/Anthracite,CV1754-001
178,11.0,Black/White/Fireberry/Metallic Gold,DD9283-011
179,7.0,Black/Anthracite/White,FN1139-001
180,11.0,White/Summit White/White,CZ0294-100
181,8.0,Black/Medium Ash/Gum Light Brown/Black,FB9894-001
182,13.0,Black/Dark Smoke Grey/Volt/White,DM1106-001
183,,Black/Neutral Olive/Black,DZ5320-001
184,14.0,Black/Black/Black/Black,CN8490-003
185,13.0,Pure Platinum/Black/Sport Red/White,FD9081-001
186,13.0,White/Light Photo Blue/Sail/Black,DM4044-100
187,4.0,Sundial/Monarch/White,DR6192-700
188,7.0,Team Gold/Sail/Dark Smoke Grey,DN3253-700
189,10.0,Light Soft Pink/Pink Oxford/Desert Berry/Black,AH6789-604
190,8.0,Black/Iron Grey/White,FN7991-001
191,12.0,Black/White,FB2208-003
192,11.0,Wolf Grey/Team Red/White/Wolf Grey,FD3598-001
193,9.0,White/Summit White/Coconut Milk/Bright Crimson,DZ1637-102
194,3.0,Oil Green/Summit White/Light Silver/Honeydew,FB4496-300
195,11.0,Black/Fire Red/Sail/Cement Grey,DR8884-001
196,6.0,Black/Anthracite/Black,CI8798-003
197,10.0,Deep Jungle/Black/White/Metallic Silver,DV3854-301
198,13.0,Teal Nebula/Geode Teal/White,DR6966-300
199,12.0,White/White/Black/Black,DH9227-101
200,12.0,White/University Red/White/Midnight Navy,FD0268-100
201,10.0,Hyper Pink/Opti Yellow/Green Strike/Sail,FQ8172-645
202,10.0,Monarch/Light Bone/Sail/Black,DR9761-800
203,11.0,Black/Black/Anthracite,DV6840-001
204,10.0,Bordeaux/Black/Volt/Vivid Purple,DV3950-601
205,13.0,Pure Platinum/White/Black/University Red,DM1120-010
206,5.0,White/White/Black,DC0496-100
207,,Black/Metallic Silver,DC9835-005
208,8.0,Fir/Earth/Deep Royal Blue/Fir,FB2348-300
209,9.0,White/Pure Platinum/Metallic Silver,FD2292-100
210,12.0,Summit White/Sand Drift/Sail/Black,FD2196-100
211,10.0,Black/Black/White,FZ0628-010
212,3.0,Hemp/Hemp,FD5131-200
213,8.0,Pearl Pink/White,DV1238-601
214,13.0,Black/Off-Noir,FB8501-001
215,9.0,Black/Diffused Blue/Football Grey/Metallic Red Bronze,DD9294-010
216,11.0,Wolf Grey/Team Red/White/Wolf Grey,FD3598-001
217,9.0,White/Summit White/Coconut Milk/Bright Crimson,DZ1637-102
218,3.0,Oil Green/Summit White/Light Silver/Honeydew,FB4496-300
219,11.0,Black/Fire Red/Sail/Cement Grey,DR8884-001
220,6.0,Black/Anthracite/Black,CI8798-003
221,10.0,Deep Jungle/Black/White/Metallic Silver,DV3854-301
222,13.0,Teal Nebula/Geode Teal/White,DR6966-300
223,12.0,White/White/Black/Black,DH9227-101
224,12.0,White/University Red/White/Midnight Navy,FD0268-100
225,10.0,Hyper Pink/Opti Yellow/Green Strike/Sail,FQ8172-645
226,10.0,Monarch/Light Bone/Sail/Black,DR9761-800
227,11.0,Black/Black/Anthracite,DV6840-001
228,10.0,Bordeaux/Black/Volt/Vivid Purple,DV3950-601
229,13.0,Pure Platinum/White/Black/University Red,DM1120-010
230,5.0,White/White/Black,DC0496-100
231,,Black/Metallic Silver,DC9835-005
232,8.0,Fir/Earth/Deep Royal Blue/Fir,FB2348-300
233,9.0,White/Pure Platinum/Metallic Silver,FD2292-100
234,12.0,Summit White/Sand Drift/Sail/Black,FD2196-100
235,10.0,Black/Black/White,FZ0628-010
236,3.0,Hemp/Hemp,FD5131-200
237,8.0,Pearl Pink/White,DV1238-601
238,13.0,Black/Off-Noir,FB8501-001
239,9.0,Black/Diffused Blue/Football Grey/Metallic Red Bronze,DD9294-010
240,7.0,Black/Black/Varsity Red/White,FV0393-001
241,13.0,Sea Glass/University Red/White/Blue Joy,DD0204-009
242,11.0,Black/White,FN0881-001
243,,Safety Orange/Safety Orange,DX5575-800
244,12.0,Black/Anthracite/Volt/White,CT2405-001
245,10.0,Bordeaux/Vivid Purple/Volt/Black,DZ2537-603
246,13.0,Black/Volt/Black/White,DV7775-001
247,13.0,Phantom/Black/Dark Russet/Phantom,FB8894-002
248,11.0,Medium Olive/White/Sequoia/High Voltage,DA1352-200
249,8.0,Black/Anthracite/White,DR6965-001
250,12.0,White/Black,DV1403-110
251,8.0,Black/Anthracite/Fireberry/Fireberry,DM3414-008
252,1.0,White/Grey Fog/White,CT1268-100
253,11.0,White/Black,DO1344-101
254,11.0,Summit White/Phantom/White/Fierce Pink,DX3705-101
255,12.0,Black/Deep Jungle/Lime Blast/Geode Teal,DV4022-008
256,15.0,University Red/Gym Red/Pure Platinum,DZ2617-600
257,13.0,Anthracite/Industrial Blue/White/Metallic Silver,FV0380-001
258,3.0,Black/Black/White/White,DV5469-001
259,10.0,Pale Ivory/Sail/Gum Light Brown/Deep Royal Blue,FQ8108-110
260,7.0,Black/Dark Smoke Grey/Cool Grey/White,DC3729-003
261,10.0,Midnight Navy/White,DZ2795-400
262,7.0,Summit White/Wolf Grey/White/Plum Eclipse,FB8916-100
263,10.0,Black/White/Black,DJ1196-002
264,7.0,Black/Black/Varsity Red/White,FV0393-001
265,13.0,Sea Glass/University Red/White/Blue Joy,DD0204-009
266,11.0,Black/White,FN0881-001
267,,Safety Orange/Safety Orange,DX5575-800
268,12.0,Black/Anthracite/Volt/White,CT2405-001
269,10.0,Bordeaux/Vivid Purple/Volt/Black,DZ2537-603
270,13.0,Black/Volt/Black/White,DV7775-001
271,13.0,Phantom/Black/Dark Russet/Phantom,FB8894-002
272,11.0,Medium Olive/White/Sequoia/High Voltage,DA1352-200
273,8.0,Black/Anthracite/White,DR6965-001
274,12.0,White/Black,DV1403-110
275,8.0,Black/Anthracite/Fireberry/Fireberry,DM3414-008
276,1.0,White/Grey Fog/White,CT1268-100
277,11.0,White/Black,DO1344-101
278,11.0,Summit White/Phantom/White/Fierce Pink,DX3705-101
279,12.0,Black/Deep Jungle/Lime Blast/Geode Teal,DV4022-008
280,15.0,University Red/Gym Red/Pure Platinum,DZ2617-600
281,13.0,Anthracite/Industrial Blue/White/Metallic Silver,FV0380-001
282,3.0,Black/Black/White/White,DV5469-001
283,10.0,Pale Ivory/Sail/Gum Light Brown/Deep Royal Blue,FQ8108-110
284,7.0,Black/Dark Smoke Grey/Cool Grey/White,DC3729-003
285,10.0,Midnight Navy/White,DZ2795-400
286,7.0,Summit White/Wolf Grey/White/Plum Eclipse,FB8916-100
287,10.0,Black/White/Black,DJ1196-002
288,13.0,Wolf Grey/Cool Grey/University Red/Black,DX3666-004
289,11.0,Racer Blue/Safety Orange/White,DC8749-401
290,6.0,Summit White/Football Grey/Sail/Wolf Grey,DQ8031-102
291,9.0,Luminous Green/Sea Glass/Lime Blast/White,DM0824-301
292,11.0,Black/Racer Blue/Sundial/White,DJ7883-003
293,6.0,Black/Siren Red/Racer Blue/Vivid Sulphur,FN5714-001
294,13.0,Black/Black/Black/Anthracite,DV7903-002
295,13.0,Sesame/Buff Gold/Bronzine/Lime Blast,DM3413-200
296,11.0,Black/Sail/Metallic Gold Grain,DN3559-003
297,1.0,Mica Green/Plum Eclipse/Amber Brown/Sequoia,DH0625-301
298,8.0,Black/Black/White,FN7993-003
299,13.0,Black/Black/Oatmeal/Metallic Gold Grain,DV4129-001
300,9.0,Buff Gold/Sesame/Gum Medium Brown/Hemp,FB8451-700
301,5.0,Black/White/Metallic Silver,AO3622-002
302,11.0,Sand Drift/Sand Drift/Sail,DV8405-102
303,12.0,White/Pure Platinum/Football Grey/University Red,DH3394-100
304,,Black/White/Black,DM0573-002
306,8.0,Anthracite/Black/White/Metallic Gold,DV4023-005
307,12.0,Pilgrim/Pilgrim/White/Black,DM3494-301
308,13.0,Black/Deep Jungle/Clear Jade/Multi-Colour,FD6692-001
309,9.0,Geode Teal/Deep Jungle/Seafoam/Black,FN3863-300
310,8.0,Black/Dark Smoke Grey/White,FN7996-001
311,,White/Varsity Red/Jetstream/Anthracite,DR5753-106
312,13.0,Wolf Grey/Cool Grey/University Red/Black,DX3666-004
313,11.0,Racer Blue/Safety Orange/White,DC8749-401
314,6.0,Summit White/Football Grey/Sail/Wolf Grey,DQ8031-102
315,9.0,Luminous Green/Sea Glass/Lime Blast/White,DM0824-301
316,12.0,Anthracite/Volt/Pure Platinum/White,DJ7883-005
317,6.0,Black/Siren Red/Racer Blue/Vivid Sulphur,FN5714-001
318,13.0,Black/Black/Black/Anthracite,DV7903-002
319,13.0,Sesame/Buff Gold/Bronzine/Lime Blast,DM3413-200
320,11.0,Black/Sail/Metallic Gold Grain,DN3559-003
321,1.0,Mica Green/Plum Eclipse/Amber Brown/Sequoia,DH0625-301
322,8.0,Black/Black/White,FN7993-003
323,13.0,Black/Black/Oatmeal/Metallic Gold Grain,DV4129-001
324,9.0,Buff Gold/Sesame/Gum Medium Brown/Hemp,FB8451-700
325,5.0,Black/White/Metallic Silver,AO3622-002
326,11.0,Sand Drift/Sand Drift/Sail,DV8405-102
327,12.0,White/Pure Platinum/Football Grey/University Red,DH3394-100
328,,Black/White/Black,DM0573-002
330,8.0,Anthracite/Black/White/Metallic Gold,DV4023-005
331,12.0,Pilgrim/Pilgrim/White/Black,DM3494-301
332,13.0,Black/Deep Jungle/Clear Jade/Multi-Colour,FD6692-001
333,9.0,Geode Teal/Deep Jungle/Seafoam/Black,FN3863-300
334,8.0,Black/Dark Smoke Grey/White,FN7996-001
335,,White/Varsity Red/Jetstream/Anthracite,DR5753-106
336,17.0,White/Black/Sail/Mystic Red,FB1362-102
337,13.0,Photon Dust/Cool Grey/Noise Aqua/White,FB9660-001
338,13.0,Cedar/Team Red/Lime Blast/White,DV3276-600
339,8.0,Summit White/Sail/Photon Dust/Phantom,FB5059-100
341,13.0,Metallic Gold/Black/White/Varsity Red,DM0028-700
342,11.0,Deep Jungle/Bronzine/Cedar/Black,DH0531-300
343,13.0,Black/Light Smoke Grey/Laser Blue/Laser Blue,DR0453-002
344,5.0,Red Stardust/Adobe,FJ6042-600
345,6.0,Black/Metallic Gold,DC2190-001
346,13.0,White/White/White,DC3728-102
347,12.0,Light Stone/Stone/Light Bone/Black,DZ7273-100
348,13.0,Wolf Grey/Smoke Grey/Black/Volt,DC8185-010
349,7.0,Light Cream/Saturn Gold/Coconut Milk/Speed Yellow,DH7546-200
350,12.0,Summit White/Sail/Black,FB1374-101
351,12.0,Purple Ink/Deep Jungle/Purple Cosmos/Safety Orange,DH0623-500
352,9.0,White/Sea Glass/Luminous Green/Lime Blast,DR5720-105
353,13.0,Light Orewood Brown/White/Khaki/Light Bone,DV2436-101
354,,Deep Green/Safety Orange,DM1683-200
355,9.0,Black/White/Metallic Gold,FZ6829-002
356,5.0,Sky J Purple/Sky J Purple,DX6405-500
357,5.0,Sequoia/Light Orewood Brown/Sequoia,DZ2538-300
358,11.0,White/Fireberry/Fierce Pink,FJ2986-100
359,13.0,Black/Anthracite/Black,FQ8732-010
360,17.0,White/Black/Sail/Mystic Red,FB1362-102
361,13.0,Photon Dust/Cool Grey/Noise Aqua/White,FB9660-001
362,13.0,Cedar/Team Red/Lime Blast/White,DV3276-600
363,8.0,Summit White/Sail/Photon Dust/Phantom,FB5059-100
365,13.0,Metallic Gold/Black/White/Varsity Red,DM0028-700
366,11.0,Deep Jungle/Bronzine/Cedar/Black,DH0531-300
367,13.0,Black/Light Smoke Grey/Laser Blue/Laser Blue,DR0453-002
368,5.0,Red Stardust/Adobe,FJ6042-600
369,6.0,Black/Metallic Gold,DC2190-001
370,13.0,White/White/White,DC3728-102
371,12.0,Light Stone/Stone/Light Bone/Black,DZ7273-100
372,13.0,Wolf Grey/Smoke Grey/Black/Volt,DC8185-010
373,7.0,Light Cream/Saturn Gold/Coconut Milk/Speed Yellow,DH7546-200
374,12.0,Summit White/Sail/Black,FB1374-101
375,12.0,Purple Ink/Deep Jungle/Purple Cosmos/Safety Orange,DH0623-500
376,9.0,White/Sea Glass/Luminous Green/Lime Blast,DR5720-105
377,13.0,Light Orewood Brown/White/Khaki/Light Bone,DV2436-101
378,,Deep Green/Safety Orange,DM1683-200
379,9.0,Black/White/Metallic Gold,FZ6829-002
380,5.0,Sky J Purple/Sky J Purple,DX6405-500
381,5.0,Sequoia/Light Orewood Brown/Sequoia,DZ2538-300
382,11.0,White/Fireberry/Fierce Pink,FJ2986-100
383,13.0,Black/Anthracite/Black,FQ8732-010
384,5.0,Black/Black/White,CN9678-006
385,15.0,White/Light Orewood Brown/Sail/Diffused Blue,DM7590-104
386,12.0,White/Blue Joy/Metallic Silver,FV0949-100
387,6.0,Black/Black/Phantom,DM8598-002
388,6.0,White/Chile Red/Coconut Milk/Black,FD6556-100
389,5.0,Mica Green/Emerald Rise/Amber Brown/Sequoia,DM0821-301
390,8.0,Pale Ivory/Neutral Olive/Luminous Green/Black,DO7626-100
391,9.0,White/White/Tour Yellow,AH7860-107
392,13.0,Black/White/Lucky Green,DZ5485-031
393,13.0,Team Red/Team Red/White,DV2018-600
394,11.0,Pink Oxford/Black/White/Summit White,CK2948-601
395,12.0,White/Bright Crimson/Black,CU4826-100
396,9.0,Black/White/Black,919712-001
397,8.0,Teal Nebula/Laser Orange/Earth/White,FN4268-300
398,13.0,Black/Deep Jungle/Night Maroon/Sea Glass,DR2686-004
399,8.0,Hemp/Light Orewood Brown/Phantom/Light Bone,FQ8145-200
400,4.0,Black/White,DC1458-001
401,16.0,Black/Dark Grey/Wolf Grey/Aura,DJ6158-001
402,12.0,Plum Eclipse/Coconut Milk/Gum Medium Brown/Sail,DX2931-200
403,13.0,White/Chile Red/Coconut Milk/Black,FJ0668-100
404,6.0,White/White,CW2289-111
405,13.0,White/Team Red/Lime Blast,DR6191-104
406,,White/Phantom/Total Orange/Black,FD8357-100
407,5.0,Sequoia/Emerald Rise/Guava Ice/Amber Brown,DR2694-300
408,10.0,Red Stardust/White/Sail/Metallic Copper,FB9892-670
409,9.0,Phantom/Light Bone/Atmosphere/Summit White,DM8261-001
410,13.0,Sea Glass/Total Orange/Blue Tint/Purple Ink,DJ7926-004
411,16.0,Medium Olive/Cargo Khaki/Burgundy Crush/Neutral Olive,FD5810-200
412,13.0,Black/Sail/Metallic Gold Grain,DM8968-002
413,5.0,Metallic Red Bronze/White/White,CN9677-900
414,15.0,Black/Anthracite/Pink Foam/Summit White,FB9647-001
415,8.0,Obsidian/Smoke Grey/Ashen Slate,DC1460-400
416,13.0,Black/Fireberry/Metallic Gold,FB7151-001
418,13.0,Deep Jungle/Geode Teal/Total Orange/Black,FB2204-300
419,9.0,Sail/Light Orewood Brown/Gum Medium Brown/Campfire Orange,FQ8106-133
420,8.0,White/Light Neutral Grey/University Red,DO9844-100
421,16.0,Black/White,FQ4112-001
423,15.0,White/Black/Sail/Game Royal,DX4397-104
425,8.0,Fierce Pink/Pink Blast/Fireberry,DR2660-602
426,1.0,Black/White/White/White,864349-002
427,10.0,Light Orewood Brown/Sail/Black/Metallic Gold,FD0555-100
428,9.0,Hemp/Bronzine/Deep Jungle/Sea Glass,FB8456-200
429,8.0,Black/Barely Volt/White/Metallic Red Bronze,DJ6257-001
430,12.0,Photon Dust/Cool Grey/University Gold/White,DM0011-010
431,9.0,White/White/Metallic Silver,DV5695-100
432,11.0,White/Wolf Grey/Light Orewood Brown/Light Lemon Twist,FB7582-100
433,15.0,Black/Smoke Grey/White,DX9028-010
434,12.0,Black/Deep Royal/White/White,FB2394-001
435,9.0,Mineral/Plum Eclipse/Amber Brown/Sequoia,DR2689-301
436,1.0,Black/Varsity Red/White,DQ7687-003
437,11.0,White/White/White,DD9625-100
438,13.0,Black/Black/Off-Noir,DR2677-001
439,7.0,Summit White/Phantom/Pale Vanilla/Sand Drift,FB5060-100
440,11.0,White/Pure Platinum/Black,CD5432-101
441,10.0,Blue Tint/Blue Tint/Blue Tint,DZ2786-400
442,8.0,Deep Jungle/Black/Pure Platinum/Metallic Silver,DJ7383-301
443,12.0,Summit White/Wolf Grey/White/University Blue,CW4554-116
444,9.0,Summit White/Bright Crimson/Fierce Pink/Black,FN0784-102
445,1.0,Light Soft Pink/White/Shimmer,DX0113-600
446,4.0,White/Black,DJ2518-100
447,10.0,Black/Deep Jungle/Purple Ink/Night Maroon,DM0822-006
448,8.0,Black/Black/Anthracite,FB1948-001
449,12.0,University Red/Black/White/White,DM3493-606
450,18.0,Black Forest/Del Sol/White,FN4442-300
451,1.0,White/White/Pure Platinum,DH0223-100
452,8.0,Black/White,DV2019-001
453,7.0,Black/White/Sail/Game Royal,FB9891-041
454,13.0,Medium Ash/Bronzine/Black/Blue Tint,FB9619-200
455,9.0,Black/White/Clear/White,DM0879-001
456,9.0,Brown/Coconut Milk/Black/Sail,DV7006-200
457,15.0,Black/University Red/White/Metallic Silver,FN4182-001
458,,White/Sonic Yellow/Total Orange,FZ3507-100
459,11.0,Black/Black/Anthracite/Black,DQ5601-003
460,10.0,Black/Diffused Blue/White/Metallic Red Bronze,FB7155-001
